question,answer
"After cellulose, what component is most plentiful in wood?",hemicellulose
How much of the Bronx's vote in 1916 did Hughes get?,42.6%
When did Homo sapiens begin using subsistence gathering?,0.2 million years ago
When did she say the she is a feminist?,April 2013
"Along with Somalo-Islamic architecture, what influences modern Somali architecture?",Western designs
How many of the Australian Football League's teams are based in the Melbourne metropolitan area?,Nine
What stations did CBC broadcast in HD in 2005?,Toronto (CBLT-DT) and Montreal (CBMT-DT)
Where were starving Han sent by the Qing?,Manchuria and Inner Mongolia
When was the first paper written about asthma?,In 1873
Where does the montane zone extend from?,"from 800 to 1,700 m"
Which form of comics entails the use of photographic images?,fumetti
Active zinc mines in India date back to what period?,Mauryan period
Who wrote 'The Color Purple'?,Alice Walker
"According to Apple, how fast can the Thunderbolt port transfer data?",up to 10 gigabits per second.
Octaves in linear pitch are what size?,12
Which city did Osman's son capture?,Bursa
When did Americans really begin to establish their own laws independent of the English?,mid-19th century
What acidic salts were commonly found in the early types of paper produced?,Alum
What about the climate of its coastal areas?,Oceanic
Who ran against Philbin instead of Kerry?,Robert Drinan
How often does the Sahara go without rainfall?,years
What percentage of adults in the Netherlands spoke a dialect or regional language in 1995?,27
Why did the Romans decide to withdraw their forces from Greece?,assuming (or hoping) that the lack of a major Greek power would ensure a stable peace
Why are assistants used?,help load shotguns
When were three additional roads built?,during the 1990s and 2000s
How many feet above sea level is Todt Hil?,409.8
What is Portugal the world's leading producer of?,cork
What did France get that gave them a supply of sugar?,"Caribbean island colonies of Guadeloupe and Martinique, France chose the latter"
What number one song was covered by an a cappella group in 1983?,"""Only You"""
"When did Thomas Young use the term ""energy"" instead of vis viva?",1807
What is another name for the  United Kingdom of Great Britain and Northern Ireland?,United Kingdom
What happens with inflammatory diarrhea?,a passive loss of protein-rich fluids and a decreased ability to absorb these lost fluids
From what time span were USN Torpedo Boats stationed at Funafuti?,2 November 1942 to 11 May 1944
What was Liberia's ranking compared to the other 176 countries?,87th
"The Monument, located in the City of London, was erected to commemorate what event?",the Great Fire of London
"In addition to ghost employees and the black market receiving drugs, what other way was money expended?",counterfeit drugs
